source,target,id
0,1,0
44,132,255
26,130,245
21,131,251
77,139,292
34,130,248
30,130,246
6,8,7
7,8,8
9,8,9
22,135,276
28,137,283
21,135,275
8,10,13
8,11,14
8,16,15
8,34,16
8,17,17
25,130,244
45,135,278
39,135,277
18,135,274
37,133,257
28,135,284
17,135,273
28,136,282
42,132,256
45,131,254
24,15,28
66,77,289
24,29,30
28,134,285
28,24,286
13,135,272
66,112,288
34,134,269
22,131,252
43,138,290
33,134,268
39,131,253
51,112,287
38,134,270
77,138,291
31,134,267
36,130,250
23,139,293
27,134,266
140,141,294
141,77,297
26,134,265
23,134,264
1,134,263
28,134,262
142,77,296
38,30,54
143,77,298
35,130,249
144,77,299
29,130,261
31,130,247
40,43,60
145,77,300
29,131,260
145,112,301
29,132,259
146,112,302
29,133,258
46,45,67
47,45,68
48,45,69
49,45,70
51,25,71
51,19,72
51,14,80
52,14,79
52,30,78
53,50,81
53,19,82
47,19,1339
55,33,84
56,33,85
57,33,86
60,241,537
67,241,538
59,57,89
59,33,90
59,60,91
140,241,539
61,60,93
61,19,94
61,27,95
62,33,96
62,60,97
62,134,1320
47,60,372
66,19,100
67,11,101
68,140,1394
69,16,103
69,10,104
69,70,105
16,70,106
71,70,107
72,385,1352
72,60,109
73,10,110
73,74,111
60,74,112
10,74,113
42,136,279
22,76,115
34,76,116
77,76,117
78,76,118
79,76,119
80,77,120
80,22,121
81,22,122
81,14,123
81,3,124
82,22,125
82,23,126
83,23,127
83,22,128
83,77,129
84,77,130
84,34,131
84,22,132
299,35,988
86,77,134
86,23,135
86,22,136
86,87,137
88,77,138
88,22,139
88,14,140
89,22,141
89,23,142
89,90,143
89,91,144
92,93,145
92,77,146
92,34,147
92,94,148
95,96,149
95,97,150
95,87,151
95,22,152
95,99,153
100,77,154
100,22,155
100,23,156
101,22,157
101,34,158
101,77,159
102,77,160
102,22,161
102,23,162
103,22,163
103,14,164
103,77,165
103,22,166
104,22,167
104,34,168
104,106,169
104,107,170
108,107,171
108,106,172
108,34,173
108,22,174
109,22,175
109,34,176
110,22,177
111,22,178
111,14,179
111,77,180
111,112,181
113,77,182
113,34,183
113,22,184
114,22,185
114,34,186
114,77,187
119,22,201
120,22,202
120,14,203
120,77,204
121,77,205
121,22,206
122,22,207
118,77,198
118,23,199
118,22,200
122,23,208
122,123,209
122,124,210
125,77,211
125,22,212
125,34,213
15,126,214
15,127,215
15,128,216
15,129,217
10,126,227
11,126,226
16,126,225
19,126,224
30,126,223
14,126,228
13,127,229
50,127,230
17,127,231
5,127,232
22,127,233
26,126,234
291,385,983
9,128,236
2,128,237
3,128,238
