id,detail,type,state,original_name
24,WIES,[NOT USED],[NOT USED],Project
129,Healthy Oceans Leadership,[NOT USED],[NOT USED],Uncategorized
133,Coastal Megacity Leadership,[NOT USED],[NOT USED],Uncategorized
137,Island Sustainability Leadership,[NOT USED],[NOT USED],Uncategorized
408,Wrigley Institute Affiliated USC Faculty,[NOT USED],[NOT USED],Uncategorized
0,BSF,[NOT USED],[NOT USED],Whitepapers
26,Faculty Innovation Fund,[NOT USED],[NOT USED],Whitepapers
31,Toxic Algal freshwater,[NOT USED],[NOT USED],Whitepapers
38,Green Ravine,[NOT USED],[NOT USED],Whitepapers
39,UG Research Cohort,[NOT USED],[NOT USED],Whitepapers
272,Orange County Coast Keeper,[NOT USED],[NOT USED],Uncategorized
282,Southern California Marine Protected Areas,[NOT USED],[NOT USED],Uncategorized
1,Black Soldier Flies,Applied Research,Expenditure,
23,Kelp Biofuel,Applied Research,Expenditure,
30,Coastal Algal Blooms,Applied Research,Expenditure,
33,Aquaculture,Applied Research,Expenditure,
34,Aquaponics,Applied Research,Expenditure,
35,GIS and mapping,Applied Research,Expenditure,
36,Light pollution,Applied Research,Expenditure,
271,Ecosystem Restoration,Applied Research,Expenditure,
279,Marine Pollution,Applied Research,Expenditure,
410,Marine Robotics,Applied Research,Expenditure,
411,Invasive Species,Applied Research,Expenditure,
10,Blue Sea work,Basic Research,Expenditure,
11,OA work,Basic Research,Expenditure,
14,SPOTs,Basic Research,Expenditure,
16,Nutrient Cycles,Basic Research,Expenditure,
19,Sediments and Basalt,Basic Research,Expenditure,
25,CO2 Source and Sink,Basic Research,Expenditure,
27,Microbial Fuel Cells,Basic Research,Expenditure,
386,Trace Metal,Basic Research,Expenditure,
278,Organismal Physiology,Basic Research,Expenditure,
384,"Genetics, Bioinformatics and 'Omics",Basic Research,Expenditure,
385,Microbial Ecology,Basic Research,Expenditure,
387,Archaeology,Basic Research,Expenditure,
388,Symbiosis,Basic Research,Expenditure,
389,Biodiversity,Basic Research,Expenditure,
390,Marine Ecology,Basic Research,Expenditure,
409,Terrestrial Ecology,Basic Research,Expenditure,
3,WIES - CCD,Citizen Science,Expenditure,Outreach - Citizen Science
4,Earthwatch,Citizen Science,Expenditure,Outreach - Citizen Science
41,Sat. at the Lab,Citizen Science,Expenditure,Outreach - Citizen Science
44,Food for thought,Citizen Science,Expenditure,Outreach - Citizen Science
2,CSU Semester,Class,Expenditure,Other University Classes
420,BISC445 - Fundamentals of Vertebrate Biology,Class,Expenditure,Uncategorized
422,GEOL107 - Oceanography,Class,Expenditure,Uncategorized
423,"GEOL412 - Oceans, Climate, and the Environment",Class,Expenditure,Uncategorized
424,GEOL575 - Organic Geochemistry,Class,Expenditure,Uncategorized
426,BISC469 - Marine Biology,Class,Expenditure,Uncategorized
5,ENST 298 - Introduction to Scientific Diving,Class,Expenditure,USC Dornsife Classes
12,ENST 495,Class,Expenditure,USC Dornsife Classes
13,ENST 499 - Tropical Coastal Zone Sustainability,Class,Expenditure,USC Dornsife Classes
17,BISC431 - Aquatic Microbiology,Class,Expenditure,USC Dornsife Classes
18,ENST Alt Spring Break ,Class,Expenditure,USC Dornsife Classes
21,ENST 320a - Water and Soil Sustainability In the Field,Class,Expenditure,USC Dornsife Classes
22,ENST 492 - Interns,Class,Expenditure,USC Dornsife Classes
50,BISC457 - Methods in Marine Biology and Biological Oceanography,Class,Expenditure,USC Dornsife Classes
266,ENST490: Directed Research,Class,Expenditure,USC Dornsife Classes
277,ENST590: Directed Research,Class,Expenditure,USC Dornsife Classes
280,ENST 480 - Integrated Ecosystem Management in Micronesia,Class,Expenditure,USC Dornsife Classes
417,GEOL241 - Energy Systems,Class,Expenditure,USC Dornsife Classes
418,GEOL470 - Environmental Hydrogeology,Class,Expenditure,USC Dornsife Classes
419,GEOL499 - Environmental Geoscience in the Field,Class,Expenditure,USC Dornsife Classes
416,Zinsmeyer Early Career Chair in Marine Studies,Fellowship,Expenditure,Uncategorized
45,Sonosky Fellowship,Fellowship,Expenditure,USC Fellowships
60,Wrigley Summer Graduate Fellowship,Fellowship,Expenditure,USC Fellowships
71,Victoria J. Bertics Summer Fellowship,Fellowship,Expenditure,USC Fellowships
238,Gerald Bakus Graduate Research Fellowship,Fellowship,Expenditure,USC Fellowships
93,Grant Writing Intern,Internship,Expenditure,Uncategorized
99,WIES Communications Internship,Internship,Expenditure,Uncategorized
40,POLA School,K-12,Expenditure,Outreach - K-12
281,NSF REU: Coastal Ocean Processes,NSF REU,Expenditure,Uncategorized
9,GEM,Summer University Program,Expenditure,
20,Geo Bio,Summer University Program,Expenditure,
32,Prof. Dev. Seminar,Symposia,Expenditure,Outreach - Symposia
37,Littlefair Conf,Symposia,Expenditure,Outreach - Symposia
42,Wrigley Sustainability Prize,Symposia,Expenditure,Outreach - Symposia
43,USC SeaGrant,Symposia,Expenditure,Outreach - Symposia
402,Natural History Museum of Los Angeles County,Other Non-university,Organization,Uncategorized
188,"University of California, Santa Cruz",Other University,Organization,
190,"University of California, Berkeley",Other University,Organization,
193,University of Hawaii at Manoa,Other University,Organization,
196,San Diego State University,Other University,Organization,
204,Harvey Mudd College,Other University,Organization,
206,"California State University, Long Beach",Other University,Organization,
214,"California State University, Northridge",Other University,Organization,
268,Mount Saint Mary's University,Other University,Organization,
284,Duke University,Other University,Organization,
286,Purdue University,Other University,Organization,
287,Carleton University,Other University,Organization,
290,University of New Haven,Other University,Organization,
294,"California State University, Dominguez Hills",Other University,Organization,
297,University of Maryland-College Park ,Other University,Organization,
300,Johns Hopkins University,Other University,Organization,
302,Texas A&M Univ-Corpus Christi,Other University,Organization,
304,"University of California, San Diego",Other University,Organization,
306,Villanova University,Other University,Organization,
308,Dartmouth College,Other University,Organization,
310,Georgia Institute of Technology,Other University,Organization,
312,Indiana Univ-Bloomington,Other University,Organization,
318,Louisiana State University,Other University,Organization,
319,University of Miami,Other University,Organization,
322,Humboldt State University,Other University,Organization,
325,Rochester Institute of Technology,Other University,Organization,
329,Baker University,Other University,Organization,
331,Maryville College,Other University,Organization,
333,Appalachian State University,Other University,Organization,
336,"University of California, Davis",Other University,Organization,
338,Los Angeles Pierce College,Other University,Organization,
340,Northwestern University,Other University,Organization,
342,San Diego State University,Other University,Organization,
344,Gardner-Webb University,Other University,Organization,
346,College of William and Mary,Other University,Organization,
348,Florida Southern College,Other University,Organization,
350,Willamette University,Other University,Organization,
352,Skidmore College,Other University,Organization,
354,Rutgers,Other University,Organization,
358,Bard College,Other University,Organization,
360,Georgia State University,Other University,Organization,
370,Florida State University,Other University,Organization,
371,"University of North Carolina, Chapel Hill",Other University,Organization,
376,Washington University,Other University,Organization,
378,California Institute of Technology,Other University,Organization,
382,Pomona College,Other University,Organization,
175,Annenberg School of Communication,USC - Annenberg,Organization,USC Academic Program 
171,School of Architecture,USC - Architecture,Organization,USC Academic Program 
106,Division of Animation and Digital Arts,USC - Cinema,Organization,USC Academic Program 
107,USC School of Cinematic Arts,USC - Cinema,Organization,USC Academic Program 
91,International Relations,USC - Dornsife,Organization,Uncategorized
147,C-DEBI,USC - Dornsife,Organization,Uncategorized
77,Environmental Studies Program,USC - Dornsife,Organization,USC Dornsife Academic Program 
78,Psychology,USC - Dornsife,Organization,USC Dornsife Academic Program 
79,East Asian Languages and Cultures,USC - Dornsife,Organization,USC Dornsife Academic Program 
87,Spanish,USC - Dornsife,Organization,USC Dornsife Academic Program 
90,Narrative Studies,USC - Dornsife,Organization,USC Dornsife Academic Program 
94,Political Economy,USC - Dornsife,Organization,USC Dornsife Academic Program 
96,"Philosophy, Politics and Law",USC - Dornsife,Organization,USC Dornsife Academic Program 
97,Economics,USC - Dornsife,Organization,USC Dornsife Academic Program 
112,Earth Sciences,USC - Dornsife,Organization,USC Dornsife Academic Program 
140,Biological Sciences,USC - Dornsife,Organization,USC Dornsife Academic Program 
170,Department of Sociology,USC - Dornsife,Organization,USC Dornsife Academic Program 
172,Spatial Sciences Institute,USC - Dornsife,Organization,USC Dornsife Academic Program 
249,USC Department of Chemistry,USC - Dornsife,Organization,USC Dornsife Academic Program 
395,USC Institute for Global Health,USC - Global Health,Organization,Uncategorized
394,Gould School of Law,USC - Gould,Organization,Uncategorized
393,Keck School of Medicine,USC - Keck,Organization,Uncategorized
